0.000000	1.000000	1.000000	-9.810000	
0.033333	1.044167	0.999765	-9.809560	
0.066667	1.078646	0.673957	-9.810259	
0.100000	1.109948	0.353834	-9.820714	
0.133333	1.141082	0.038366	-9.855906	
0.166667	1.177236	-0.272443	-9.935872	
0.200000	1.205193	-0.590539	-10.044475	
0.233333	1.250987	-0.901477	-10.218919	
0.266667	1.289743	-1.222561	-10.411859	
0.300000	1.320358	-1.551388	-10.602612	
0.333333	1.345995	-1.883930	-10.785557	
0.366667	1.393580	-2.208537	-11.002783	
0.400000	1.438217	-2.537578	-11.214662	
0.433333	1.457974	-2.877254	-11.383938	
0.466667	1.490338	-3.210356	-11.562370	
0.500000	1.522983	-3.543006	-11.736440	
0.533333	1.544632	-3.879049	-11.892812	
0.566667	1.561560	-4.215026	-12.039459	
0.600000	1.557153	-4.556620	-12.159512	
0.633333	1.560747	-4.891521	-12.284434	
0.666667	1.567381	-5.222895	-12.411598	
0.700000	1.538156	-5.565877	-12.506223	
0.733333	1.500574	-5.907366	-12.592129	
0.766667	1.442958	-6.252003	-12.661296	
0.800000	1.379202	-6.593570	-12.725627	
0.833333	1.326855	-6.925489	-12.799627	
0.866667	1.269482	-7.256047	-12.873149	
0.900000	1.215218	-7.582014	-12.951991	
0.933333	1.138575	-7.914762	-13.020186	
0.966667	1.034153	-8.255434	-13.073930	
1.000000	0.910939	-8.598848	-13.118263	
1.033333	0.796747	-8.932299	-13.169204	
1.066667	0.656613	-9.272771	-13.209064	
1.100000	0.513029	-9.609053	-13.249260	
1.133333	0.362176	-9.943421	-13.288525	
1.166667	0.187248	-10.283901	-13.319163	
1.200000	0.052876	-10.599251	-13.370740	
1.233333	-0.145004	-10.942175	-13.398849	
1.266667	-0.340451	-11.277453	-13.429855	
1.300000	-0.545171	-11.611688	-13.459659	
1.333333	-0.762765	-11.946751	-13.487024	
1.366667	-0.980311	-12.276087	-13.516985	
1.400000	-1.206642	-12.604765	-13.546676	
1.433333	-1.470087	-12.947233	-13.565973	
1.466667	-1.730461	-13.281347	-13.588181	
1.500000	-2.005847	-13.617354	-13.607806	
